timestamp,average_value,lower_bound,upper_bound
2025-05-14T00:00:00Z,94.8,93.7,95.9
2025-05-15T00:00:00Z,95.0,94.6,95.5
2025-05-21T00:00:00Z,93.5,90.5,96.4
2025-05-23T00:00:00Z,94.7,92.7,96.6
2025-06-22T00:00:00Z,92.6,88.0,94.8
2025-06-28T00:00:00Z,93.7,91.2,95.7
2025-06-29T00:00:00Z,93.9,92.9,95.1
2025-06-30T00:00:00Z,94.0,90.8,96.9
2025-07-03T00:00:00Z,95.3,94.3,96.7
2025-07-06T00:00:00Z,94.7,92.0,96.7
2025-07-07T00:00:00Z,93.7,90.6,95.7
2025-07-10T00:00:00Z,93.7,90.1,96.6
2025-07-15T00:00:00Z,93.1,91.0,95.4
